Agos|Klac|Sklu	590	256	224
Agos|Klac|Kwal	587	273	210
Agos|Klac|Kthe	588	273	209
Agos|Klac|Zrou	943	70	57
Agos|Klac|Kpol	955	59	56
Agos|Cgla|Klac	62	960	48
Agos|Klac|Scas	991	35	44
Agos|Klac|Sbay	1038	13	19
Agos|Klac|Skud	1037	13	20
Agos|Klac|Spar	1038	13	19
Agos|Klac|Scer	1040	13	17
Agos|Klac|Smik	1037	13	20
Agos|Clus|Klac	238	583	249
Agos|Cgui|Klac	239	582	249
Agos|Dhan|Klac	238	583	249
Agos|Klac|Psti	586	235	249
Agos|Cpar|Klac	239	582	249
Agos|Klac|Lelo	586	235	249
Agos|Ctro|Klac	239	582	249
Agos|Calb|Klac	239	582	249
Agos|Cdub|Klac	239	582	249
Agos|Kwal|Sklu	259	228	583
Agos|Kthe|Sklu	258	229	583
Agos|Sklu|Zrou	923	79	68
Agos|Kpol|Sklu	71	945	54
Agos|Cgla|Sklu	74	954	42
Agos|Scas|Sklu	42	985	43
Agos|Sbay|Sklu	21	1026	23
Agos|Sklu|Skud	1027	19	24
Agos|Sklu|Spar	1028	19	23
Agos|Scer|Sklu	21	1027	22
Agos|Sklu|Smik	1027	19	24
Agos|Clus|Sklu	387	520	163
Agos|Cgui|Sklu	388	519	163
Agos|Dhan|Sklu	387	520	163
Agos|Psti|Sklu	388	519	163
Agos|Cpar|Sklu	388	519	163
Agos|Lelo|Sklu	388	519	163
Agos|Ctro|Sklu	388	519	163
Agos|Calb|Sklu	388	519	163
Agos|Cdub|Sklu	388	519	163
Agos|Kthe|Kwal	11	6	1053
Agos|Kwal|Zrou	919	88	63
Agos|Kpol|Kwal	76	948	46
Agos|Cgla|Kwal	74	952	44
Agos|Kwal|Scas	985	50	35
Agos|Kwal|Sbay	1027	26	17
Agos|Kwal|Skud	1026	26	18
Agos|Kwal|Spar	1027	26	17
Agos|Kwal|Scer	1029	25	16
Agos|Kwal|Smik	1026	26	18
Agos|Clus|Kwal	363	511	196
Agos|Cgui|Kwal	364	510	196
Agos|Dhan|Kwal	363	511	196
Agos|Kwal|Psti	511	363	196
Agos|Cpar|Kwal	364	510	196
Agos|Kwal|Lelo	511	363	196
Agos|Ctro|Kwal	364	510	196
Agos|Calb|Kwal	364	510	196
Agos|Cdub|Kwal	364	510	196
Agos|Kthe|Zrou	918	89	63
Agos|Kpol|Kthe	76	946	48
Agos|Cgla|Kthe	74	951	45
Agos|Kthe|Scas	983	50	37
Agos|Kthe|Sbay	1027	26	17
Agos|Kthe|Skud	1026	26	18
Agos|Kthe|Spar	1027	26	17
Agos|Kthe|Scer	1029	25	16
Agos|Kthe|Smik	1026	26	18
Agos|Clus|Kthe	364	510	196
Agos|Cgui|Kthe	365	509	196
Agos|Dhan|Kthe	364	510	196
Agos|Kthe|Psti	510	364	196
Agos|Cpar|Kthe	365	509	196
Agos|Kthe|Lelo	510	364	196
Agos|Ctro|Kthe	365	509	196
Agos|Calb|Kthe	365	509	196
Agos|Cdub|Kthe	365	509	196
Agos|Kpol|Zrou	314	434	322
Agos|Cgla|Zrou	248	602	220
Agos|Scas|Zrou	172	689	209
Agos|Sbay|Zrou	15	1005	50
Agos|Skud|Zrou	15	1004	51
Agos|Spar|Zrou	16	1005	49
Agos|Scer|Zrou	14	1009	47
Agos|Smik|Zrou	16	1004	50
Agos|Clus|Zrou	796	167	107
Agos|Cgui|Zrou	797	166	107
Agos|Dhan|Zrou	796	167	107
Agos|Psti|Zrou	797	166	107
Agos|Cpar|Zrou	797	166	107
Agos|Lelo|Zrou	797	166	107
Agos|Ctro|Zrou	797	166	107
Agos|Calb|Zrou	797	166	107
Agos|Cdub|Zrou	797	166	107
Agos|Cgla|Kpol	256	522	292
Agos|Kpol|Scas	628	181	261
Agos|Kpol|Sbay	1003	12	55
Agos|Kpol|Skud	1002	12	56
Agos|Kpol|Spar	1003	12	55
Agos|Kpol|Scer	1006	11	53
Agos|Kpol|Smik	1002	12	56
Agos|Clus|Kpol	810	147	113
Agos|Cgui|Kpol	811	146	113
Agos|Dhan|Kpol	810	147	113
Agos|Kpol|Psti	148	809	113
Agos|Cpar|Kpol	811	146	113
Agos|Kpol|Lelo	148	809	113
Agos|Ctro|Kpol	811	146	113
Agos|Calb|Kpol	811	146	113
Agos|Cdub|Kpol	811	146	113
Agos|Cgla|Scas	452	295	323
Agos|Cgla|Sbay	999	10	61
Agos|Cgla|Skud	998	10	62
Agos|Cgla|Spar	999	10	61
Agos|Cgla|Scer	1003	7	60
Agos|Cgla|Smik	998	10	62
Agos|Cgla|Clus	134	819	117
Agos|Cgla|Cgui	133	820	117
Agos|Cgla|Dhan	134	819	117
Agos|Cgla|Psti	133	820	117
Agos|Cgla|Cpar	133	820	117
Agos|Cgla|Lelo	133	820	117
Agos|Cgla|Ctro	133	820	117
Agos|Calb|Cgla	820	133	117
Agos|Cdub|Cgla	820	133	117
Agos|Sbay|Scas	13	991	66
Agos|Scas|Skud	993	11	66
Agos|Scas|Spar	995	10	65
Agos|Scas|Scer	999	9	62
Agos|Scas|Smik	994	10	66
Agos|Clus|Scas	885	109	76
Agos|Cgui|Scas	886	108	76
Agos|Dhan|Scas	885	109	76
Agos|Psti|Scas	886	108	76
Agos|Cpar|Scas	886	108	76
Agos|Lelo|Scas	886	108	76
Agos|Ctro|Scas	886	108	76
Agos|Calb|Scas	886	108	76
Agos|Cdub|Scas	886	108	76
Agos|Sbay|Skud	545	123	402
Agos|Sbay|Spar	866	46	158
Agos|Sbay|Scer	988	6	76
Agos|Sbay|Smik	707	124	239
Agos|Clus|Sbay	1015	38	17
Agos|Cgui|Sbay	1016	37	17
Agos|Dhan|Sbay	1015	38	17
Agos|Psti|Sbay	1016	37	17
Agos|Cpar|Sbay	1016	37	17
Agos|Lelo|Sbay	1016	37	17
Agos|Ctro|Sbay	1016	37	17
Agos|Calb|Sbay	1016	37	17
Agos|Cdub|Sbay	1016	37	17
Agos|Skud|Spar	835	59	176
Agos|Scer|Skud	141	847	82
Agos|Skud|Smik	630	163	277
Agos|Clus|Skud	1015	38	17
Agos|Cgui|Skud	1016	37	17
Agos|Dhan|Skud	1015	38	17
Agos|Psti|Skud	1016	37	17
Agos|Cpar|Skud	1016	37	17
Agos|Lelo|Skud	1016	37	17
Agos|Ctro|Skud	1016	37	17
